lang_loading_game    ="လုပ္ေဆာင္ေနသည္"
lang_local_manifest_file_found    ="ဂိမ္းေဒါင္းလုဒ္ရန္ဖိုင္ မရွိပါ။"
lang_error_download_manifest    ="ဂိမ္းနွင့္အခ်က္အလက္ဖိုင္ ေဒါင္းလုဒ္အမွားအယြင္း"
lang_error_parse_manifest    ="ဖိုင္၏ ေဒတာကို ဖတ္၍မရပါ"
lang_update_failed    ="update မေအာင္ျမင္ပါ"
lang_notice    ="အသိေပးခ်က္"
lang_text_notice_disconnect    ="ခ်ိတ္ဆက္မႈ ျပတ္ေတာက္သြားသည္။ ထပ္ျကိုးစားၾကည့္ပါ"
lang_notice_reconnect    ="ဆာဗာသို႔ ခ်ိတ္ဆက္၍မရပါ။\n ေက်းဇူးျပဳ၍ ထပ္ျကိုးစားျကည့္ပါ"
lang_btn_try_again    ="ျပန္ႀကိဳးစားပါ"
lang_btn_play_offline    ="offline ကစားပါ"
lang_btn_update_now    ="ယခု Update လုပ္ပါ"
lang_restart_to_online_ask_android    ="သင္သည္ offline ကစားေနပါသည္၊ onlineရရန္ ဂိမ္းကို ျပန္လည္စတင္လိုပါသလား"
lang_restart_to_online_ask_other    ="သင္သည္ offline ကစားေနၿပီး onlineျပန္ေျပာင္းရန္ ဂိမ္းမွထြက္ျပီးျပန္စတင္ပါ"
lang_btn_restart    ="ျပန္စတင္သည္"
lang_switch_to_online_ask    ="သင္သည္ offlineကစားေနသည္၊ ဤလုပ္ေဆာင္ခ်က္ကိုအသုံးျပဳရန္ onlineရွိရန္ လိုအပ္သည္"
lang_btn_reconnect    ="ျပန္ခ်ိတ္ဆက္သည္"
lang_start_maintain    =""
lang_in_maintain"    =""
ALERT_TITLE    ="အသိေပးခ်က္"
ALERT_1    ="ေရႊမလံုေလာက္ပါ"
ALERT_2    ="G မလံုေလာက္ပါ"
ALERT_3    =""
ALERT_4    ="သင့္အမည္ကို ထည့္သြင္းရပါမည္"
ALERT_5    ="စကားဝွက္သည္ အနည္းဆုံး အကၡရာ 6 လုံး ရွိရမည္"
ALERT_6    ="စကား၀ွက္မွားယြင္းသည္"
ALERT_7    ="အေကာင့္ရွိၿပီးသားပါ"
ALERT_8    ="အမွား ၈"
ALERT_9    ="အမွား ၉"
ALERT_10    ="အမွား ၁၀"
ALERT_11    ="အမွား ၁၁"
ALERT_12    ="ဆာဗာ ျပဳျပင္ရန္ နီးကပ္ေနၿပီ\n ေက်းဇူးျပဳ၍ ေနာက္မွျပန္လာပါ"
ALERT_13    ="ဆာဗာသည္ ျပဳျပင္ေနသည္\n ေက်းဇူးျပဳ၍ ေနာက္မွျပန္လာပါ"
ALERT_14    ="တစ္ေန႔လွ်င္ မိနစ္ 180 ထက္ပို၍ ကစားျခင္းသည္ က်န္းမာေရးကို ဆိုး႐ြားစြာ ထိခိုက္ေစပါသည္"
ALERT_15    =""
ALERT_16    =""
ALERT_17    =""
lang_congrat    ="ဂုဏ္ယူပါတယ္"
NOTI_DISCONNECT_ACTION_TIME_OUT    ="ခ်ိတ္ဆက္မႈ ျပတ္ေတာက္သြားသည္။ ထပ္စမ္းၾကည့္ပါ "
lang_slow_connection    ="လိုင္းမေကာင္းပါ"
lang_retry    ="ျပန္ႀကိဳးစားပါ"
lang_slow_connection_retry    ="လိုင္းမေကာင္းပါ။ ထပ္စမ္းၾကည့္ပါ "
lang_login    ="ေလာ့အင္"
