lang_loading_game    ="กำลังโหลด"
lang_local_manifest_file_found    ="ไม่มีรายการดาวน์โหลดเกม!"
lang_error_download_manifest    ="เกิดข้อผิดพลาดในการดาวน์โหลดไฟล์รายการดาวน์โหลด"
lang_error_parse_manifest    ="การอ่านข้อมูลไฟล์ดาวน์โหลดล้มเหลว!"
lang_update_failed    ="การอัพเดทล้มเหลว"
lang_notice    ="การแจ้งเตือน"
lang_text_notice_disconnect    ="ขาดการเชื่อมต่อ กรุณาลองอีกครั้ง."
lang_notice_reconnect    ="ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์\n โปรดลองอีกครั้ง"
lang_btn_try_again    ="ลองอีกครั้ง"
lang_btn_play_offline    ="เล่นออฟไลน์"
lang_btn_update_now    ="อัพเดทตอนนี้"
lang_restart_to_online_ask_android    ="คุณกำลังเล่นออฟไลน์ รีสตาร์ทเกมเพื่อเล่นออนไลน์?"
lang_restart_to_online_ask_other    ="คุณกำลังเล่นแบบออฟไลน์ ออกจากเกมแล้วเปิดเกมใหม่เพื่อออนไลน์!"
lang_btn_restart    ="รีสตาร์ท"
lang_switch_to_online_ask    ="คุณกำลังเล่นออฟไลน์ ไปโหมดออนไลน์เพื่อใช้ฟังก์ชั่นนี้"
lang_btn_reconnect    ="เชื่อมต่อใหม่"
lang_start_maintain    ="Server will be under maintenance in @time@"
lang_in_maintain"    ="Server is under maintenance in @time@"
ALERT_TITLE    ="การแจ้งเตือน"
ALERT_1    ="ทองไม่พอ"
ALERT_2    ="G ไม่พอ"
ALERT_3    =""
ALERT_4    ="คุณต้องป้อนชื่อผู้ใช้ของคุณ"
ALERT_5    ="รหัสผ่านต้องมีอย่างน้อย 6 ตัวอักษร"
ALERT_6    ="รหัสผ่านผิดพลาด"
ALERT_7    ="บัญชีมีอยู่แล้ว"
ALERT_8    ="ข้อผิดพลาด8"
ALERT_9    ="ข้อผิดพลาด 9"
ALERT_10    ="ข้อผิดพลาด 10"
ALERT_11    ="ข้อผิดพลาด 11"
ALERT_12    ="ใกล้เวลาการบำรุงรักษาเซิร์ฟเวอร์\nโปรดกลับมาตรวจสอบในภายหลัง"
ALERT_13    ="เซิร์ฟเวอร์อยู่ระหว่างการบำรุงรักษา\nโปรดกลับมาตรวจสอบภายหลัง"
ALERT_14    ="การเล่นเกิน 180 นาทีต่อวันจะส่งผลเสียต่อสุขภาพของคุณ"
ALERT_15    =""
ALERT_16    =""
ALERT_17    =""
lang_congrat    ="ยินดีด้วย"
NOTI_DISCONNECT_ACTION_TIME_OUT    ="ขาดการติดต่อ! กรุณาลองอีกครั้ง!"
lang_slow_connection    ="การเชื่อมต่อช้า"
lang_retry    ="ลองอีกครั้ง"
lang_slow_connection_retry    ="การเชื่อมต่อช้า! กรุณาลองอีกครั้ง!"
lang_login    ="เข้าสู่ระบบ"
lang_login_1    ="เลือกบัญชีที่คุณต้องการเข้าสู่ระบบ"
lang_login_2    ="หรือเข้าสู่ระบบในฐานะบัญชีแขก"
lang_login_register    ="ลงทะเบียน"
lang_login_name    ="ชื่อผู้ใช้"
lang_login_pass    ="รหัสผ่าน"
lang_login_3    ="หรือเข้าสู่ระบบด้วย"
lang_login_pass_confirm    ="ใส่รหัสผ่าน"
lang_guess    ="บัญชีแขก"
lang_social_change_acc    ="เข้าสู่ระบบด้วยบัญชีอื่น:"
lang_guess_change_acc    ="ลิงค์ Facebook เพื่อบันทึกความคืบหน้าของเกม \n และเชื่อมต่อกับเพื่อน"
lang_mapping    ="ลิงค์"
lang_mapping_success    ="เชื่อมโยงสำเร็จ"
lang_other_login    ="บัญชีถูกเข้าสู่ระบบในอุปกรณ์อื่น! \nความคืบหน้าของเกมเปลี่ยนเป็นโหมดออฟไลน์"
lang_PlayNow    ="เล่นเลย!"
lang_guess_can_not_use_feature    ="คุณกำลังเล่นกับบัญชีผู้เยี่ยมชม \n เข้าสู่ระบบตอนนี้เพื่อใช้คุณสมบัตินี้!"
lang_ask_override_progress    ="หากคุณต้องการเขียนทับความ\nคืบหน้าปัจจุบัน โปรดพิมพ์ "OKAY""
lang_press_okay    ="ป้อน "ตกลง""
lang_override    ="เขียนทับ"
lang_cancel    ="ยกเลิก"
lang_tool_0    ="ถุงมือ"
lang_tool_1    ="ค้อน"
lang_tool_2    ="ค้อนยักษ์"
lang_tool_description_0    ="เลือกอัญมณีสองเม็ดติดกัน \nเพื่อสลับกัน"
lang_tool_description_1    ="เลือกตำแหน่งที่จะโจมตีโดยใช้ค้อน \nทำลายอัญมณีที่นั่น"
lang_tool_description_2    ="เลือกตำแหน่งที่จะโจมตีโดยใช้ค้อน \nทำลายทั้งแถวและคอลัมน์"
ResourceType_2    ="หัวใจ"
ResourceType_30    ="ดอกไม้ไฟ"
ResourceType_31    ="ลูกบอลดิสโก้"
ResourceType_32    ="จรวด"
ResourceType_40    ="ค้อน"
ResourceType_41    ="ค้อนยักษ์"
ResourceType_42    ="ถุงมือ"
lang_buy_resource_des_2    ="ฟื้นฟู <rgb = 49,138,0> 5 หัวใจ </rgb> ทันทีเพื่อพิชิตระดับต่อ"
lang_buy_resource_des_30    ="เริ่มต้นระดับด้วย <rgb=49,138,0> 1 ระเบิด </rgb> และ <rgb=49,138,0> 1 ดอกไม้ไฟ </rgb> เพิ่มในตำแหน่งสุ่ม"
lang_buy_resource_des_31    ="เริ่มระดับด้วย <rgb = 49,138,0> 1 Disco Ball </rgb> ที่เพิ่มในตำแหน่งแบบสุ่ม"
lang_buy_resource_des_32    ="เมื่อเปิดใช้งาน <rgb = 49,138,0> จรวด </rgb> จะเพิ่มเป็นสองเท่า"
lang_buy_resource_des_40    ="<rgb = 49,138,0> ค้อน </rgb> สามารถทำลายหนึ่งอัญมณีหรือหนึ่งชั้นโดยไม่เสียตา"
lang_buy_resource_des_41    ="<rgb = 49,138,0> ค้อนยักษ์ </rgb> สามารถทำลายทั้งแถวหรือคอลัมน์ของอัญมณีหรือทั้งชั้นในแนวนอนและแนวตั้งโดยไม่ต้องเสียตา"
lang_buy_resource_des_42    ="<rgb = 49,138,0> ถุงมือ </rgb> สามารถสลับ 2 อัญมณีที่อยู่ติดกันบนกระดานโดยไม่ต้องเสียตา"
#TUTORIAL    =""
lang_tap_to_continue    ="แตะเพื่อดำเนินการต่อ"
lang_unlock_at_lvl    ="ปลดล็อคที่ระดับ <rgb = 49,138,0> @num@ </rgb>"
lang_tut_new_player_1    ="สวัสดี!!!"
lang_tut_new_player_2    ="ฉัน <rgb = 49,138,0> แมวชีส </rgb> จากนี้ไปฉันจะร่วมผจญภัยไปกับคุณใน <rgb = 49,138,0> แคทเวนเจอร์ </rgb>"
lang_tut_new_player_3    ="แตะที่ <rgb=49,138,0> พวงมาลัยเรือ </rgb> เพื่อเริ่มต้นการเดินทางของคุณทันที!!!"
lang_tut_new_booster_1    ="คุณสามารถเลือกที่จะบูสเตอร์ปสู่ระดับเพื่อเพิ่มโอกาสในการชนะของคุณเมื่อเริ่มต้นเลเวล"
lang_tut_new_booster_2    ="คราวนี้ฉันจะให้ไอเท็มเริ่มต้นแก่คุณ ลองใช้เลย!"
lang_tut_play_1_1    ="สร้างลำดับของ <rgb=49,138,0> 3 อัญมณี</rgb> ที่มีสีเดียวกันใน <rgb=49,138,0> แถวนอน </rgb> หรือ <rgb=49,138,0> แถวตั้ง </rgb> เพื่อรวบรวมพวกมัน"
lang_tut_play_1_2    ="จับคู่อัญมณี <rgb = 49,138,0> สีเขียว </rgb> เพื่อผ่านด่าน!"
lang_tut_play_2_1    ="จับคู่ <rgb = 49,138,0> 4 อัญมณี </rgb> ที่มีสีเดียวกันเพื่อสร้างเส้นเพื่อสร้าง <rgb = 49,138,0> ดอกไม้ไฟ </rgb>"
lang_tut_play_2_2    ="เยี่ยมเลย ลองสลับ <rgb=49,138,0> ดอกไม้ไฟ </rgb> เพื่อดูว่าเกิดอะไรขึ้น"
lang_tut_play_2_3    ="เยี่ยมเลย มาสร้าง <rgb = 49,138,0> ดอกไม้ไฟ </rgb> กันดีกว่า"
lang_tut_play_2_4    ="คุณยังสามารถเปิดใช้งาน <rgb=49,138,0> ดอกไม้ไฟ </rgb> ได้ด้วยการแตะสองครั้ง"
lang_tut_play_3_1    ="ลองจับคู่ <rgb = 49,138,0> 4 อัญมณี </rgb> ที่มีสีเดียวกันเป็น <rgb = 49,138,0> สี่เหลี่ยม </rgb> เพื่อสร้าง <rgb = 49,138,0> จรวด</rgb>"
lang_tut_play_3_2    ="เยี่ยมมาก ลองสลับ <rgb=49,138,0> Rockets </rgb> เพื่อดูว่าเกิดอะไรขึ้น"
lang_tut_play_3_3    ="เยี่ยมมาก มาสร้าง <rgb = 49,138,0> จรวด </rgb> กันดีกว่า!"
lang_tut_play_4_1    ="จับคู่ <rgb = 49,138,0> 5 อัญมณี </rgb> ที่มีสีเดียวกันเป็น <rgb = 49,138,0> รูปร่าง "T" </rgb> เพื่อสร้าง <rgb = 49,138,0> ระเบิด </rgb> ."
lang_tut_play_4_2    ="เยี่ยมเลย ลองสลับ <rgb=49,138,0> ระเบิด </rgb> เพื่อดูว่าเกิดอะไรขึ้น"
lang_tut_play_4_3    ="เยี่ยมมาก ตอนนี้ มาลองสร้าง <rgb = 49,138,0> ระเบิด </rgb> โดยจับคู่อัญมณีให้เป็น <rgb = 49,138,0> รูปร่าง “L” </rgb>"
lang_tut_play_5_1    ="จับคู่ <rgb = 49,138,0> อัญมณี 5 สีในบรรทัดเดียวกัน </rgb> จะสร้าง <rgb = 49,138,0> ลูกบอลดิสโก้ </rgb>"
lang_tut_play_5_2    ="เยี่ยมมาก ตอนนี้สลับ <rgb = 49,138,0> ลูกบอลดิสโก้ </rgb> กับอัญมณีสีใดก็ได้เพื่อรวบรวมทั้งหมดทั้งมวลของอัญมณีสีนั้น"
lang_tut_play_6    ="จับคู่อัญมณีสีใกล้ๆกับ <rgb = 49,138,0> โจรแรคคูน </rgb>เพื่อรับอัญมณีพิเศษ"
lang_tut_play_7_1    ="คุณสามารถรวมอัญมณี <rgb=49,138,0> พิเศษ </rgb> เข้าด้วยกันเพื่อเพิ่มพลัง"
lang_tut_play_8    =""
lang_tut_play_7_2    ="ลองสลับ <rgb = 49,138,0> ดอกไม้ไฟและระเบิด </rgb> เพื่อสร้างคอมโบ"
lang_tut_play_10    ="ระวัง <rgb=49,138,0> คิงคอง </rgb> จะขว้างลังไม้โจมตีคุณ! จับคู่อัญมณีข้าง <rgb = 49,138,0> คิงคอง </rgb> เพื่อหยุดเขา!"
lang_tut_play_11_1    ="โอ้... <rgb=49,138,0> เครื่องมือ </rgb> ถูกปลดล็อกแล้ว มาดูกันว่าพวกมันจะทำอะไรได้บ้าง!"
lang_tut_play_11_2    ="<rgb = 49,138,0> ถุงมือ </rgb> สามารถสลับอัญมณี 2 เม็ดที่อยู่ติดกันบนกระดานได้"
lang_tut_play_11_3    ="ใช้ <rgb=49,138,0> ถุงมือ </rgb> เพื่อสลับอัญมณีเพื่อสร้างคอมโบ <rgb = 49,138,0> ระเบิดและดอกไม้ไฟ</rgb>"
lang_tut_play_12    ="จับคู่อัญมณีหลากสีบน <rgb = 49,138,0> พื้นหญ้า </rgb> เพื่อทำลายพวกมัน"
lang_tut_play_14_1    ="<rgb = 49,138,0> ค้อน </rgb> สามารถทำลายชั้นของอัญมณีบนกระดาน แตะ <rgb = 49,138,0> ค้อน </rgb> เพื่อใช้งาน"
lang_tut_play_16_1    ="<rgb = 49,138,0> ค้อนยักษ์ </rgb> สามารถทำลายอัญมณีทั้งแถวบนกระดาน เลือก <rgb = 49,138,0> ค้อนยักษ์ </rgb> เพื่อใช้งาน"
lang_tut_play_21    ="จับคู่อัญมณีที่มีสีเดียวกันรอบๆ อัญมณีที่ถูกล็อกโดย <rgb = 49,138,0> เถาวัลย์ </rgb> เพื่อทำลายพวกมัน"
lang_tut_play_26    ="นำ <rgb = 49,138,0> โดนัท </rgb> ไปที่ด้านล่างของกระดานเพื่อเก็บ"
lang_tut_play_31    ="จับคู่อัญมณีสีข้าง <rgb = 49,138,0> ตู้นม </rgb> เพื่อทำลายพวกมัน"
lang_tut_play_37    ="<rgb = 49,138,0> เมฆ </rgb> สามารถเพิ่มตัวเองได้ จับคู่อัญมณีสีข้างๆ เพื่อเทำลาย <rgb = 49,138,0> เมฆ </rgb>"
lang_tut_play_43    ="<rgb = 49,138,0> ปลาแข็ง </rgb> สามารถสลับที่ด้วยอัญมณีสีได้และถูกทำลายเมื่อโดนจับคู่อัญมณีรอบตัว"
lang_tut_play_51    ="จับคู่อัญมณีสีข้างๆ <rgb=49,138,0> หิน </rgb> เพื่อทำลายพวกมัน"
lang_tut_play_58_1    ="<rgb = 49,138,0> บอลลูน </rgb> ต้องพองเต็มที่จึงจะบินได้ <rgb = 49,138,0> เติมแถบอากาศ </rgb>"
lang_tut_play_58_2    ="สร้าง <rgb = 49,138,0> แรงกระทบ </rgb> ให้มากๆเพื่อ <rgb = 49,138,0> ปั๊ม </rgb> เพิ่มความเร็วในการบินขึ้นของบอลลูน"
lang_tut_play_64    ="จับคู่อัญมณีสีถัดจาก <rgb = 49,138,0> แรคคูน </rgb> เพื่อรับอัญมณีพิเศษ"
